line,seq,station,lat,lng,n_lines
13,26,真北路,31.2340599,121.3775615,1
13,27,祁连山南路,31.2395103,121.3627051,1
13,28,丰庄,31.244304,121.3507184,1
13,29,金沙江西路,31.2430886,121.3306597,1
13,30,金运路,31.2429079,121.3166182,1
6,0,东方体育中心,31.155438133333334,121.47597863333333,3
6,1,灵岩南路,31.1507549,121.4908101,1
6,2,上南路,31.1511766,121.5019956,1
6,3,华夏西路,31.151974,121.51032,1
6,4,高青路,31.1614994,121.5113226,1
6,5,东明路,31.1747993,121.5068164,2
6,6,高科西路,31.18766495,121.50586055,2
6,7,临沂新村,31.195787,121.5131727,1
6,8,上海儿童医学中心,31.2061387,121.519567,1
6,9,蓝村路,31.21405705,121.52378215,2
6,10,浦电路,31.2226916,121.5244594,1
6,11,世纪大道,31.230755425,121.522746,4
6,12,源深体育中心,31.2350191,121.5299034,1
6,13,民生路,31.2377143,121.5404504,2
6,14,北洋泾路,31.2411512,121.5478075,1
6,15,德平路,31.2476955,121.5602651,1
6,16,云山路,31.252680599999998,121.56737235,2
6,17,金桥路,31.2593106,121.5776109,1
6,18,博兴路,31.2661344,121.5826719,1
6,19,五莲路,31.2744761,121.5838006,1
6,20,巨峰路,31.2827067,121.58473085,2
6,21,东靖路,31.2931876,121.5846691,1
6,22,五洲大道,31.305072,121.5851459,1
6,23,洲海路,31.3147563,121.5852282,1
6,24,外高桥保税区南,31.3240926,121.5975778,1
6,25,航津路,31.3378199,121.5896358,1
6,26,外高桥保税区北,31.3502815,121.5826019,1
6,27,港城路,31.3552629,121.5707025,2
5,0,奉贤新城,30.9167642,121.4914806,1
5,1,金海湖,30.9315536,121.4876194,1
5,2,望园路,30.9344565,121.4792452,1
5,3,环城东路,30.9329791,121.4583558,1
5,4,奉浦大道,30.9447808,121.4443214,1
5,5,萧塘,30.9681757,121.437324,1
5,6,西渡,30.9915646,121.4277126,1
5,7,江川路,31.0077355,121.4186433,1
5,8,东川路,31.0205621,121.4152685,1
5,9,剑川路,31.0287732,121.4118212,1
5,10,北桥,31.0473809,121.405322,1
5,11,颛桥,31.0692574,121.397115,1
5,12,银都路,31.091592,121.3854682,1
5,13,春申路,31.1004712,121.3809929,1
5,14,莘庄,31.113007,121.38069715,2
16,0,滴水湖,30.9098666,121.9251715,1
16,1,临港大道,30.9261249,121.9064328,1
16,2,野生动物园,31.0524644,121.6940938,1
16,3,新场,31.0477439,121.6439898,1
16,4,航头东,31.0579029,121.6130944,1
16,5,鹤沙航城,31.0806608,121.6069539,1
16,6,周浦东,31.1129852,121.6026506,1
16,7,罗山路,31.15606245,121.58888385,2
16,8,华夏中路,31.177367699999998,121.5778538,2
16,9,龙阳路,31.204544125,121.55324625,4
12,0,七莘路,31.133715,121.3585682,1
12,1,虹莘路,31.1395514,121.3758293,1
12,2,顾戴路,31.14296,121.3875265,1
12,3,东兰路,31.1577116,121.3871732,1
12,4,虹梅路,31.1622381,121.392697,1
12,5,虹漕路,31.1662428,121.4061067,1
12,6,桂林公园,31.16962105,121.41426630000001,2
12,7,漕宝路,31.170248649999998,121.42967379999999,2
12,8,龙漕路,31.171376449999997,121.43945585,2
12,9,龙华,31.1757579,121.4484464,2
12,10,龙华中路,31.186095950000002,121.4523178,2
12,11,大木桥路,31.196053749999997,121.45912605000001,2
12,12,嘉善路,31.204450100000003,121.45639875,2
12,13,陕西南路,31.217837666666668,121.454672,3
12,14,南京西路,31.230587299999996,121.45626883333334,3
12,15,汉中路,31.242974866666668,121.45413976666667,3
12,16,曲阜路,31.2442942,121.4671223,2
12,17,天潼路,31.24576135,121.47790169999999,2
12,18,国际客运中心,31.2521208,121.4939755,1
12,19,提篮桥,31.255347,121.5022949,1
12,20,大连路,31.259703299999998,121.50875625,2
12,21,江浦公园,31.26689615,121.5192522,2
12,22,宁国路,31.2706622,121.5283174,1
12,23,隆昌路,31.2776103,121.5407282,1
12,24,爱国路,31.2819559,121.5482851,1
12,25,复兴岛,31.2830035,121.5569651,1
12,26,东陆路,31.2846637,121.5746455,1
12,27,巨峰路,31.2827067,121.58473085,2
12,28,杨高北路,31.2821858,121.5987071,1
12,29,金京路,31.2818459,121.6107893,1
12,30,申江路,31.2822916,121.6226109,1
12,31,金海路,31.2658032,121.63475385,2
11,0,迪士尼,31.1431699,121.6630897,1
11,1,康新公路,31.1327057,121.6129339,1
11,2,秀沿路,31.1409666,121.5939919,1
11,3,罗山路,31.15606245,121.58888385,2
11,4,御桥,31.16121735,121.56727575,2
11,5,康恒路,31.1564631,121.5492865,1
11,6,浦三路,31.1532165,121.5350476,1
11,7,三林东,31.148666,121.5188667,1
11,8,三林,31.1454212,121.5079185,1
11,9,东方体育中心,31.155438133333334,121.47597863333333,3
11,10,龙耀路,31.1615123,121.4552046,1
11,11,云锦路,31.1695044,121.4538975,1
11,12,龙华,31.1757579,121.4484464,2
11,13,上海游泳馆,31.1812988,121.4367786,1
11,14,徐家汇,31.196291966666667,121.4325491,3
11,15,交通大学,31.2040778,121.43058945,2
11,16,江苏路,31.22150675,121.42664095,2
11,17,隆德路,31.232359799999998,121.4189382,2
11,18,曹杨路,31.241051900000002,121.413871975,4
11,19,枫桥路,31.2443645,121.4057363,1
11,20,真如,31.25262275,121.40229074999999,2
11,21,上海西站,31.2649164,121.3963129,2
11,22,李子园,31.2708886,121.3853621,1
11,23,祁连山路,31.2734605,121.3722253,1
11,24,武威路,31.278922,121.3597312,1
11,25,桃浦新村,31.2835095,121.3450753,1
11,26,南翔,31.2990636,121.3179658,1
11,27,陈翔公路,31.3089729,121.3018789,1
11,28,马陆,31.3214234,121.2716891,1
11,29,嘉定新城,31.3326357,121.2495582,1
11,30,上海赛车场,31.333935,121.2216887,1
11,31,昌吉东路,31.2951195,121.1953078,1
11,32,上海汽车城,31.2874687,121.1755689,1
11,33,安亭,31.2904336,121.1567748,1
2,0,浦东1号2号航站楼,31.1524856,121.8019058,1
2,1,海天三路,31.1711359,121.7922919,1
2,2,远东大道,31.2014449,121.7503144,1
2,3,凌空路,31.1948473,121.7195047,1
2,4,川沙,31.1887789,121.6936789,1
2,5,华夏东路,31.1988609,121.6767325,1
2,6,创新中路,31.2155538,121.6698319,1
2,7,唐镇,31.2164014,121.6518611,1
2,8,广兰路,31.2131422,121.6168761,1
2,9,金科路,31.2064247,121.5978303,1
2,10,张江高科,31.2040135,121.5833475,1
2,11,龙阳路,31.204544125,121.55324625,4
2,12,世纪公园,31.2120246,121.5465049,1
2,13,上海科技馆,31.2219139,121.5386791,1
2,14,世纪大道,31.230755425,121.522746,4
2,15,浦东南路,31.238097600000003,121.5096865,2
2,16,陆家嘴,31.2385699,121.49800865,2
2,17,南京东路,31.2397044,121.4796993,2
2,18,人民广场,31.234641566666667,121.47043576666668,3
2,19,南京西路,31.230587299999996,121.45626883333334,3
2,20,静安寺,31.224770966666664,121.4422834,3
2,21,江苏路,31.22150675,121.42664095,2
2,22,中山公园,31.219854566666665,121.4113067,3
2,23,娄山关路,31.21418075,121.39719275,2
2,24,威宁路,31.216846,121.3826814,1
2,25,北新泾,31.2184613,121.3690999,1
2,26,淞虹路,31.2200518,121.3558333,1
2,27,虹桥2号航站楼,31.19630585,121.3217049,2
2,28,虹桥火车站,31.19604513333333,121.31358713333333,3
2,29,国家会展中心,31.19252135,121.29260045,2
2,30,蟠祥路・国家会计学院,31.183549,121.2817193,1
17,0,虹桥火车站,31.19604513333333,121.31358713333333,3
17,1,国家会展中心,31.19252135,121.29260045,2
17,2,蟠龙路,31.1884461,121.2742009,1
17,3,徐盈路,31.18014,121.2498205,1
17,4,徐泾北城,31.1775186,121.2372703,1
17,5,嘉松中路,31.1660625,121.2192107,1
17,6,赵巷,31.163113,121.187692,1
17,7,汇金路,31.1632236,121.1466733,1
17,8,青浦新城,31.1608076,121.1210939,1
17,9,漕盈路,31.1623496,121.0919505,1
17,10,淀山湖大道,31.1359033,121.0768138,1
17,11,朱家角,31.1024975,121.0438824,1
17,12,东方绿舟,31.1005718,121.0146021,1
17,13,西岑,31.0724552,120.9593162,1
7,0,美兰湖,31.4032271,121.3458577,1
7,1,罗南新村,31.3899534,121.3529669,1
7,2,潘广路,31.3654514,121.3518324,1
7,3,刘行,31.3592752,121.3582022,1
7,4,顾村公园,31.3456543,121.3692608,2
7,5,祁华路,31.3235545,121.3690565,1
7,6,上海大学,31.3224712,121.3846558,1
7,7,南陈路,31.3235666,121.3942271,1
7,8,上大路,31.316375,121.4040757,1
7,9,场中路,31.3050495,121.4086273,1
7,10,大场镇,31.2949031,121.4117566,1
7,11,行知路,31.2852481,121.417543,1
7,12,大华三路,31.2756199,121.4183706,1
7,13,新村路,31.2657043,121.4179458,1
7,14,岚皋路,31.2572552,121.4172532,1
7,15,镇坪路,31.24826416666667,121.42583306666667,3
7,16,长寿路,31.242187299999998,121.4336184,2
7,17,昌平路,31.2350088,121.4384725,1
7,18,静安寺,31.224770966666664,121.4422834,3
7,19,常熟路,31.2149765,121.44561920000001,2
7,20,肇嘉浜路,31.20125195,121.4458501,2
7,21,东安路,31.19257335,121.45028495,2
7,22,龙华中路,31.186095950000002,121.4523178,2
7,23,后滩,31.1739332,121.4694803,1
7,24,长清路,31.17669975,121.48312010000001,2
7,25,耀华路,31.1806038,121.4904472,2
7,26,云台路,31.1847811,121.4967173,1
7,27,高科西路,31.18766495,121.50586055,2
7,28,杨高南路,31.1895931,121.5207941,1
7,29,锦绣路,31.1897479,121.5364372,1
7,30,芳华路,31.1957033,121.5455599,1
7,31,龙阳路,31.204544125,121.55324625,4
7,32,花木路,31.2137836,121.558496,1
18,0,鹤涛路,31.0749122,121.5818067,1
18,1,沈梅路,31.094307,121.5752903,1
18,2,繁荣路,31.1062399,121.5660724,1
18,3,周浦,31.1173266,121.5634054,1
18,4,康桥,31.1370874,121.5632147,1
18,5,御桥,31.16121735,121.56727575,2
18,6,莲溪路,31.17156435,121.5617687,2
18,7,北中路,31.1852491,121.5571617,1
18,8,芳芯路,31.1931586,121.5551108,1
18,9,龙阳路,31.204544125,121.55324625,4
18,10,迎春路,31.2232453,121.5468094,1
18,11,杨高中路,31.2289211,121.54437615,2
18,12,民生路,31.2377143,121.5404504,2
18,13,昌邑路,31.2460773,121.5358396,2
18,14,丹阳路,31.2569392,121.526101,1
18,15,平凉路,31.2610811,121.5226014,1
18,16,江浦公园,31.26689615,121.5192522,2
18,17,江浦路,31.2765208,121.5143922,2
18,18,抚顺路,31.2860717,121.5113977,1
18,19,国权路,31.2912691,121.50625635,2
18,20,复旦大学,31.298286,121.4954048,1
18,21,上海财经大学,31.3101185,121.4920053,1
18,22,殷高路,31.3235928,121.4910467,1
18,23,长江南路,31.3337097,121.48610735,2
18,24,通南路,31.3396109,121.4752648,1
18,25,长江西路,31.3475798,121.470867,1
18,26,爱辉路,31.3460785,121.4445839,1
18,27,呼兰路,31.34115975,121.43235835,2
18,28,康文路,31.3374977,121.4161126,1
14,0,桂桥路,31.2525772,121.6309182,1
14,1,金粤路,31.2443748,121.6247463,1
14,2,浦东足球场,31.2437578,121.6107349,1
14,3,云顺路,31.2393394,121.5964154,1
14,4,黄杨路,31.2360283,121.5862634,1
14,5,蓝天路,31.24308775,121.5738021,2
14,6,云山路,31.252680599999998,121.56737235,2
14,7,龙居路,31.2595165,121.5546643,1
14,8,歇浦路,31.2526895,121.5469918,1
14,9,昌邑路,31.2460773,121.5358396,2
14,10,源深路,31.2434181,121.5264859,1
14,11,浦东大道,31.241984700000003,121.515041,2
14,12,浦东南路,31.238097600000003,121.5096865,2
14,13,陆家嘴,31.2385699,121.49800865,2
14,14,豫园,31.2307169,121.48356045,2
14,15,大世界,31.228918049999997,121.4750564,2
14,16,一大会址·黄陂南路,31.22532675,121.4686371,2
14,17,静安寺,31.224770966666664,121.4422834,3
14,18,武定路,31.2289434,121.4318278,1
14,19,武宁路,31.2355791,121.4263038,2
14,20,曹杨路,31.241051900000002,121.413871975,4
14,21,中宁路,31.2469663,121.4100514,1
14,22,真如,31.25262275,121.40229074999999,2
14,23,铜川路,31.2530866,121.3925482,2
14,24,真光路,31.2550971,121.3797239,1
14,25,真新新村,31.2573042,121.3674601,1
14,26,定边路,31.2583258,121.3577115,1
14,27,嘉怡路,31.2613449,121.3407546,1
14,28,临洮路,31.265075,121.3263461,1
14,29,乐秀路,31.267348,121.3092552,1
14,30,封浜,31.2695216,121.2925438,1
15,0,紫竹高新区,31.0264916,121.4460335,1
15,1,永德路,31.0417852,121.4381867,1
15,2,元江路,31.0653049,121.4270932,1
15,3,双柏路,31.0856698,121.4169375,1
15,4,曙建路,31.0931613,121.4128295,1
15,5,景西路,31.1016264,121.4145956,1
15,6,虹梅南路,31.1057535,121.4289317,1
15,7,景洪路,31.1152436,121.4357137,1
15,8,朱梅路,31.1263324,121.4333946,1
15,9,罗秀路,31.1342659,121.4311036,1
15,10,华东理工大学,31.1465731,121.4240955,1
15,11,上海南站,31.156812033333335,121.42572306666666,3
15,12,桂林公园,31.16962105,121.41426630000001,2
15,13,桂林路,31.177257750000003,121.41262625,2
15,14,吴中路,31.1866617,121.4092613,1
15,15,姚虹路,31.1934035,121.4007597,1
15,16,红宝石路,31.2011347,121.3937312,1
15,17,娄山关路,31.21418075,121.39719275,2
15,18,长风公园,31.2272208,121.3916442,1
15,19,大渡河路,31.23444525,121.39047485,2
15,20,梅岭北路,31.246366,121.3922023,1
15,21,铜川路,31.2530866,121.3925482,2
15,22,上海西站,31.2649164,121.3963129,2
15,23,武威东路,31.2777559,121.3873299,1
15,24,古浪路,31.2849413,121.3875638,1
15,25,祁安路,31.2935449,121.3796608,1
15,26,南大路,31.3010443,121.3756575,1
15,27,丰翔路,31.3107303,121.3765041,1
15,28,锦秋路,31.3227374,121.3774272,1
15,29,顾村公园,31.3456543,121.3692608,2
